id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
0UokmGCI/,0UokmGCI63,63,66,Attempt missed. Gareth Bale (Real Madrid) header from the centre of the box misses to the left. Assisted by Lucas Vazquez with a cross.,1,12.0,1,Real Madrid,Celta Vigo,gareth bale,lucas vazquez,,,8.0,2.0,0,3.0,3.0,2,1.0,0
0UokmGCI/,0UokmGCI78,78,80,Attempt saved. Gareth Bale (Real Madrid) header from the centre of the box is saved in the centre of the goal. Assisted by Lucas Vazquez with a cross.,1,12.0,1,Real Madrid,Celta Vigo,gareth bale,lucas vazquez,,,5.0,1.0,0,3.0,3.0,2,1.0,0
0UokmGCI/,0UokmGCI91,91,93,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is just a bit too high. Assisted by Mariano.,1,12.0,1,Real Madrid,Celta Vigo,gareth bale,mariano,,,1.0,2.0,0,15.0,2.0,1,1.0,0
Aw2dLG8B/,Aw2dLG8B18,18,18,Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is high and wide to the left from a direct free kick.,1,,1,Real Madrid,Osasuna,gareth bale,,,,6.0,2.0,0,15.0,2.0,0,4.0,0
Aw2dLG8B/,Aw2dLG8B22,22,22,Attempt saved. Gareth Bale (Real Madrid) left footed shot from outside the box is saved in the bottom left corner. Assisted by Toni Kroos.,1,12.0,1,Real Madrid,Osasuna,gareth bale,toni kroos,,,3.0,1.0,0,15.0,2.0,1,1.0,0
Aw2dLG8B/,Aw2dLG8B48,48,42,Attempt saved. Gareth Bale (Real Madrid) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Alvaro Morata.,1,12.0,1,Real Madrid,Osasuna,gareth bale,alvaro morata,,,5.0,1.0,0,3.0,2.0,1,1.0,0
Aw2dLG8B/,Aw2dLG8B69,69,60,Attempt saved. Gareth Bale (Real Madrid) left footed shot from the right side of the box is saved in the top centre of the goal. Assisted by Mateo Kovacic.,1,12.0,1,Real Madrid,Osasuna,gareth bale,mateo kovacic,,,11.0,1.0,0,11.0,2.0,1,1.0,0
tKskRry2/,tKskRry228,28,38,"Attempt missed. Gareth Bale (Real Madrid) left footed shot from outside the box is close, but misses to the right. Assisted by Toni Kroos.",1,12.0,1,Real Madrid,Villarreal,gareth bale,toni kroos,,,9.0,2.0,0,15.0,2.0,1,1.0,0
tKskRry2/,tKskRry259,59,66,"Attempt missed. Gareth Bale (Real Madrid) left footed shot from the right side of the box is close, but misses to the left. Assisted by Karim Benzema.",1,12.0,1,Real Madrid,Villarreal,gareth bale,karim benzema,,,8.0,2.0,0,11.0,2.0,1,1.0,0
4hkF25c8/,4hkF25c813,13,19,Attempt blocked. Gareth Bale (Real Madrid) left footed shot from the right side of the box is blocked. Assisted by Daniel Carvajal.,1,12.0,2,Real Madrid,Las Palmas,gareth bale,daniel carvajal,,,2.0,3.0,0,11.0,2.0,1,1.0,0
4hkF25c8/,4hkF25c844,44,43,Attempt saved. Gareth Bale (Real Madrid) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Toni Kroos.,1,12.0,2,Real Madrid,Las Palmas,gareth bale,toni kroos,,,4.0,1.0,0,11.0,1.0,1,1.0,0
