id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jeV5wtMl/,jeV5wtMl32,32,24,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom left corner. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Levante,karim benzema,mesut ozil,,,3,1,0,15,1,1,1,0
jeV5wtMl/,jeV5wtMl82,82,66,"Goal!  Real Madrid 4, Levante 2. Karim Benzema (Real Madrid) right footed shot from the left side of the box to the bottom right corner. Assisted by Cristiano Ronaldo.",1,12,1,Real Madrid,Levante,karim benzema,cristiano ronaldo,,,4,1,1,9,1,1,1,0
YmW4jJ5f/,YmW4jJ5f25,25,27,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the centre of the box is blocked. Assisted by Mesut Ozil with a cross.,1,12,1,Real Madrid,Racing Santander,karim benzema,mesut ozil,,,2,3,0,3,1,2,1,0
YmW4jJ5f/,YmW4jJ5f46,46,44,Attempt saved. Karim Benzema (Real Madrid) right footed shot from outside the box is saved in the bottom right corner. Assisted by Marcelo.,1,12,1,Real Madrid,Racing Santander,karim benzema,marcelo,,,4,1,0,15,1,1,1,0
YmW4jJ5f/,YmW4jJ5f52,52,45,"Goal!  Real Madrid 2, Racing 0. Karim Benzema (Real Madrid) left footed shot from a difficult angle on the left to the centre of the goal. Assisted by Xabi Alonso following a set piece situation.",1,12,1,Real Madrid,Racing Santander,karim benzema,xabi alonso,,,5,1,1,7,2,1,2,0
YmW4jJ5f/,YmW4jJ5f102,102,89,"Goal!  Real Madrid 4, Racing 0. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the top right corner. Assisted by Sami Khedira.",1,12,1,Real Madrid,Racing Santander,karim benzema,sami khedira,,,13,1,1,11,1,1,1,0
E9YMTPgG/,E9YMTPgG1,1,2,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the right side of the box is saved in the top right corner. Assisted by Lass Diarra with a cross.,1,12,1,Real Madrid,Malaga,karim benzema,lass diarra,,,13,1,0,11,1,2,1,0
E9YMTPgG/,E9YMTPgG30,30,28,"Attempt missed. Karim Benzema (Real Madrid) right footed shot from the left side of the box is close, but misses to the right.",1,,1,Real Madrid,Malaga,karim benzema,,,,9,2,0,9,1,0,1,0
E9YMTPgG/,E9YMTPgG36,36,35,"Goal!  Real Madrid 1, MA¡laga 0. Karim Benzema (Real Madrid) header from the right side of the six yard box to the bottom right corner. Assisted by Cristiano Ronaldo with a cross.",1,12,1,Real Madrid,Malaga,karim benzema,cristiano ronaldo,,,4,1,1,12,3,2,1,0
E9YMTPgG/,E9YMTPgG74,74,72,"Attempt missed. Karim Benzema (Real Madrid) left footed shot from the centre of the box is close, but misses to the left. Assisted by Mesut Ozil.",1,12,1,Real Madrid,Malaga,karim benzema,mesut ozil,,,8,2,0,3,2,1,1,0
E9YMTPgG/,E9YMTPgG82,82,78,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked. Assisted by Mesut Ozil.,1,12,1,Real Madrid,Malaga,karim benzema,mesut ozil,,,2,3,0,15,1,1,1,0
d2ZLt3wM/,d2ZLt3wM39,39,29,Attempt saved. Karim Benzema (Real Madrid) header from the centre of the box is saved in the centre of the goal. Assisted by Xabi Alonso with a cross.,1,12,2,Real Madrid,Villarreal,karim benzema,xabi alonso,,,5,1,0,3,3,2,1,0
d2ZLt3wM/,d2ZLt3wM63,63,43,"Attempt missed. Karim Benzema (Real Madrid) left footed shot from the left side of the box is close, but misses to the left. Assisted by Marcelo with a through ball.",1,12,2,Real Madrid,Villarreal,karim benzema,marcelo,,,8,2,0,9,2,4,1,0
8pN7fM7L/,8pN7fM7L4,4,5,Attempt saved. Karim Benzema (Real Madrid) left footed shot from outside the box is saved in the bottom left corner. Assisted by Xabi Alonso.,1,12,1,Real Madrid,Real Sociedad,karim benzema,xabi alonso,,,3,1,0,15,2,1,1,0
8pN7fM7L/,8pN7fM7L46,46,40,"Goal!  Real Madrid 3, Real Sociedad 0. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the centre of the goal. Assisted by Xabi Alonso.",1,12,1,Real Madrid,Real Sociedad,karim benzema,xabi alonso,,,5,1,1,3,1,1,1,0
8pN7fM7L/,8pN7fM7L61,61,49,"Goal!  Real Madrid 4, Real Sociedad 1. Karim Benzema (Real Madrid) right footed shot from the centre of the box to the top left corner. Assisted by Sami Khedira with a through ball.",1,12,1,Real Madrid,Real Sociedad,karim benzema,sami khedira,,,12,1,1,3,1,4,1,0
8pN7fM7L/,8pN7fM7L81,81,73,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the centre of the box is saved in the bottom right corner.,1,,1,Real Madrid,Real Sociedad,karim benzema,,,,4,1,0,3,2,0,1,0
2yY57aiR/,2yY57aiR10,10,7,"Goal!  Osasuna 0, Real Madrid 1. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the top left corner. Assisted by Cristiano Ronaldo with a cross.",1,12,2,Real Madrid,Osasuna,karim benzema,cristiano ronaldo,,,12,1,1,11,1,2,1,0
2yY57aiR/,2yY57aiR77,77,69,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked.,1,,2,Real Madrid,Osasuna,karim benzema,,,,2,3,0,15,1,0,1,0
AgNC3Wzm/,AgNC3Wzm58,58,42,Attempt blocked. Karim Benzema (Real Madrid) left footed shot from the centre of the box is blocked. Assisted by Mesut Ozil with a through ball.,1,12,1,Real Madrid,Valencia,karim benzema,mesut ozil,,,2,3,0,3,2,4,1,0
AgNC3Wzm/,AgNC3Wzm59,59,45,Attempt missed. Karim Benzema (Real Madrid) right footed shot from outside the box is too high. Assisted by Xabi Alonso.,1,12,1,Real Madrid,Valencia,karim benzema,xabi alonso,,,10,2,0,15,1,1,1,0
AgNC3Wzm/,AgNC3Wzm72,72,56,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the right side of the box is blocked. Assisted by Alvaro Arbeloa with a headed pass.,1,12,1,Real Madrid,Valencia,karim benzema,alvaro arbeloa,,,2,3,0,11,1,3,1,0
AgNC3Wzm/,AgNC3Wzm106,106,79,Attempt missed. Karim Benzema (Real Madrid) left footed shot from the right side of the box misses to the left following a corner.,1,,1,Real Madrid,Valencia,karim benzema,,,,8,2,0,11,2,0,3,0
AgNC3Wzm/,AgNC3Wzm108,108,79,"Attempt missed. Karim Benzema (Real Madrid) right footed shot from the left side of the box is close, but misses to the left.",1,,1,Real Madrid,Valencia,karim benzema,,,,8,2,0,9,1,0,1,0
AgNC3Wzm/,AgNC3Wzm109,109,79,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Cristiano Ronaldo with a through ball.,1,12,1,Real Madrid,Valencia,karim benzema,cristiano ronaldo,,,5,1,0,3,2,4,1,0
AgNC3Wzm/,AgNC3Wzm111,111,80,Attempt saved. Karim Benzema (Real Madrid) header from the centre of the box is saved in the centre of the goal.,1,,1,Real Madrid,Valencia,karim benzema,,,,5,1,0,3,3,0,1,0
AgNC3Wzm/,AgNC3Wzm128,128,90,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the centre of the box is saved in the centre of the goal.,1,,1,Real Madrid,Valencia,karim benzema,,,,5,1,0,3,1,0,1,0
Szu80Ioh/,Szu80Ioh46,46,39,Attempt saved. Karim Benzema (Real Madrid) left footed shot from the right side of the box is saved in the bottom right corner. Assisted by Angel Di MarA­a with a cross.,1,12,2,Real Madrid,Atletico Madrid,karim benzema,angel di maria,,,4,1,0,11,2,2,1,0
Szu80Ioh/,Szu80Ioh85,85,63,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the right side of the box is blocked. Assisted by Mesut Ozil.,1,12,2,Real Madrid,Atletico Madrid,karim benzema,mesut ozil,,,2,3,0,11,1,1,1,0
h8DfEyGi/,h8DfEyGi66,66,49,Attempt saved. Karim Benzema (Real Madrid) header from the centre of the box is saved in the centre of the goal. Assisted by Angel Di MarA­a with a cross.,1,12,1,Real Madrid,Sporting Gijon,karim benzema,angel di maria,,,5,1,0,3,3,2,1,0
h8DfEyGi/,h8DfEyGi86,86,63,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from the centre of the box is blocked. Assisted by Alvaro Arbeloa.,1,12,1,Real Madrid,Sporting Gijon,karim benzema,alvaro arbeloa,,,2,3,0,3,1,1,1,0
h8DfEyGi/,h8DfEyGi109,109,86,"Goal!  Real Madrid 3, Sporting GijA³n 1. Karim Benzema (Real Madrid) right footed shot from the right side of the box to the bottom left corner. Assisted by Mesut Ozil with a through ball.",1,12,1,Real Madrid,Sporting Gijon,karim benzema,mesut ozil,,,3,1,1,11,1,4,1,0
h8DfEyGi/,h8DfEyGi117,117,90,Attempt missed. Karim Benzema (Real Madrid) left footed shot from the centre of the box is high and wide to the left. Assisted by Cristiano Ronaldo with a through ball.,1,12,1,Real Madrid,Sporting Gijon,karim benzema,cristiano ronaldo,,,6,2,0,3,2,4,1,0
IVzmuYTd/,IVzmuYTd29,29,32,Attempt blocked. Karim Benzema (Real Madrid) right footed shot from outside the box is blocked. Assisted by Angel Di MarA­a.,1,12,1,Real Madrid,Sevilla,karim benzema,angel di maria,,,2,3,0,15,1,1,1,0
IVzmuYTd/,IVzmuYTd40,40,42,Attempt missed. Karim Benzema (Real Madrid) right footed shot from the centre of the box is too high. Assisted by Mesut Ozil following a fast break.,1,12,1,Real Madrid,Sevilla,karim benzema,mesut ozil,,,10,2,0,3,1,1,1,1
IVzmuYTd/,IVzmuYTd43,43,48,"Goal!  Real Madrid 2, FC Sevilla 0. Karim Benzema (Real Madrid) right footed shot from very close range to the bottom right corner. Assisted by Angel Di MarA­a with a through ball.",1,12,1,Real Madrid,Sevilla,karim benzema,angel di maria,,,4,1,1,13,1,4,1,0
IVzmuYTd/,IVzmuYTd46,46,52,"Goal!  Real Madrid 3, FC Sevilla 0. Karim Benzema (Real Madrid) header from very close range to the top right corner. Assisted by Sergio Ramos with a cross following a fast break.",1,12,1,Real Madrid,Sevilla,karim benzema,sergio ramos,,,13,1,1,13,3,2,1,1
02tzvPZD/,02tzvPZD59,59,58,Attempt saved. Karim Benzema (Real Madrid) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Marcelo.,1,12,2,Real Madrid,Granada,karim benzema,marcelo,,,4,1,0,11,1,1,1,0
02tzvPZD/,02tzvPZD103,103,90,Attempt missed. Karim Benzema (Real Madrid) right footed shot from outside the box is too high. Assisted by JosA© CallejA³n.,1,12,2,Real Madrid,Granada,karim benzema,jose callejon,,,10,2,0,15,1,1,1,0
